symbol,topic,horizon_h,n,mean_ret,abn_ret,mean_abs_ret,t,tone_hit,tone_n
ZEC,geopolitics,4,8,0.012497530434145365,0.010961997399353041,0.028356646568198696,0.8284928660310085,0.25,8
xyz_SILVER,commodities,24,13,-0.02180045664369138,-0.02503675390960626,0.05910364792849246,-0.8265228295286918,0.5384615384615384,13
xyz_SNDK,geopolitics,1,8,0.008699858255155776,0.006334574756928311,0.02325532923363345,0.8251852232741466,0.375,8
xyz_NATGAS,commodities,4,13,-0.00233325522454048,-0.0024311610430663754,0.007874578107627057,-0.8251489792296123,0.5384615384615384,13
CRV,commodities,4,13,0.0063004189939384996,0.006499164388818605,0.01953772437222838,0.8187575490388267,0.38461538461538464,13
xyz_GOLD,fed_macro,1,8,0.0007735507770124384,0.0007302689182208649,0.002218633529348174,0.8091487855856557,0.5,8
XRP,fed_macro,24,8,0.013289599381556952,0.014659851380181903,0.037020358144634044,0.7878475666405907,0.375,8
WLD,commodities,1,13,-0.0027209857007437924,-0.002718625320576877,0.010070769085327815,-0.7876730526566486,0.7692307692307693,13
xyz_CL,geopolitics,1,8,-0.0015765827080215927,-0.0016384445527579832,0.0038182672627109088,-0.7876714723551681,0.5,8
xyz_BRENTOIL,fed_macro,24,8,0.007769340625110338,0.006164077169043988,0.01804169367926886,0.7875298584181877,0.375,8
xyz_GOLD,fed_macro,4,8,0.000975579210878208,0.000802447738328501,0.0029005134236342878,0.7776067832241964,0.375,8
xyz_SILVER,commodities,1,13,-0.002763435871942294,-0.002898282108690178,0.0073738426126207,-0.7681953953792321,0.5384615384615384,13
xyz_NATGAS,crypto,1,13,-0.0023608065934277614,-0.002397769971029237,0.005923571498143735,-0.7579557630948422,0.6923076923076923,13
xyz_NATGAS,fed_macro,4,8,0.004357195343090051,0.0042592895245641554,0.009952296155340754,0.7152484989716957,0.625,8
VVV,fed_macro,24,8,0.0102207075848805,-0.005408009473008488,0.0354594487685391,0.7044285387487866,0.375,8
xyz_CL,fed_macro,24,8,0.00812018438131934,0.006477140535106553,0.02139881647320141,0.7028753743627655,0.5,8
xyz_MU,commodities,1,12,0.0031716496184201284,0.0018786948610162748,0.012874664902211045,0.7003552091744453,0.4166666666666667,12
xyz_CL,crypto,1,13,-0.000924996762274003,-0.0009868586070103935,0.003333524015812439,-0.6707780806255726,0.46153846153846156,13
xyz_SNDK,fed_macro,24,8,0.01940430533578713,-0.03841474270473457,0.06675672773630936,0.6704798252685559,0.5,8
ETH,fed_macro,1,8,0.003319644404457131,0.0033493132820873175,0.008053819026129852,0.6696256132143313,0.5,8
xyz_BRENTOIL,crypto,1,13,-0.0010608021103417032,-0.0011294479600398434,0.0042055583037243684,-0.6654079774378552,0.5384615384615384,13
